Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      108     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::~__shared_count()
  0.00      0.00     0.00      102     0.00     0.00  std::__future_base::_Result_base::_Deleter&& std::forward<std::__future_base::_Result_base::_Deleter>(std::remove_reference<std::__future_base::_Result_base::_Deleter>::type&)
  0.00      0.00     0.00      101     0.00     0.00  void (RmCommand::*&&std::forward<void (RmCommand::*)(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool, bool, bool)>(std::remove_reference<void (RmCommand::*)(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool, bool, bool)>::type&))(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool, bool, bool)
  0.00      0.00     0.00      100     0.00     0.00  std::__future_base::_Result<void>*& std::__get_helper<0ul, std::__future_base::_Result<void>*, std::__future_base::_Result_base::_Deleter>(std::_Tuple_impl<0ul, std::__future_base::_Result<void>*, std::__future_base::_Result_base::_Deleter>&)
  0.00      0.00     0.00       99     0.00     0.00  std::_Head_base<0ul, std::__future_base::_Result<void>*, false>::_M_head(std::_Head_base<0ul, std::__future_base::_Result<void>*, false>&)
  0.00      0.00     0.00       99     0.00     0.00  std::_Tuple_impl<0ul, std::__future_base::_Result<void>*, std::__future_base::_Result_base::_Deleter>::_M_head(std::_Tuple_impl<0ul, std::__future_base::_Result<void>*, std::__future_base::_Result_base::_Deleter>&)
  0.00      0.00     0.00       99     0.00     0.00  std::__uniq_ptr_impl<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter>::_M_ptr()
  0.00      0.00     0.00       99     0.00     0.00  std::tuple_element<0ul, std::tuple<std::__future_base::_Result<void>*, std::__future_base::_Result_base::_Deleter> >::type& std::get<0ul, std::__future_base::_Result<void>*, std::__future_base::_Result_base::_Deleter>(std::tuple<std::__future_base::_Result<void>*, std::__future_base::_Result_base::_Deleter>&)
  0.00      0.00     0.00       94     0.00     0.00  __gnu_cxx::__normal_iterator<std::future<void>*, std::vector<std::future<void>, std::allocator<std::future<void> > > >::base() const
  0.00      0.00     0.00       88     0.00     0.00  LsCommand*&& std::forward<LsCommand*>(std::remove_reference<LsCommand*>::type&)
